City,Lat,Lng,Temperature Max,Humidity,Clouds,Wind Speed,Country,Date
Busselton,-33.65,115.3333,50.09,77,92,4.7,AU,1635027095
Jamestown,42.097,-79.2353,46.29,97,90,1.99,US,1635027096
Ushuaia,-54.8,-68.3,33.46,93,75,18.41,AR,1635027096
Erdemli,36.605,34.3084,70.21,38,0,3.27,TR,1635027096
Rikitea,-23.1203,-134.9692,74.88,82,97,20.09,PF,1635027097
Acapulco de Juárez,16.8634,-99.8901,75.02,88,90,12.66,MX,1635027097
Charters Towers,-20.1,146.2667,78.96,56,80,6.69,AU,1635027097
Guilin,25.2819,110.2864,56.79,77,88,4.52,CN,1635027098
Punta Arenas,-53.15,-70.9167,35.71,87,40,26.46,CL,1635027022
Egvekinot,66.3167,-179.1667,10.96,81,100,5.99,RU,1635027098
Rawson,-43.3002,-65.1023,62.01,26,62,10.49,AR,1635027048
Todos Santos,23.45,-110.2167,90.1,75,0,10.0,MX,1635027099
Santa Maria,-29.6842,-53.8069,62.26,96,100,4.38,BR,1635026802
Brufut,13.3814,-16.7518,83.84,61,83,8.39,GM,1635027099
Belomorsk,64.5232,34.7668,28.18,89,100,6.67,RU,1635027100
Kavaratti,10.5669,72.642,80.62,78,84,1.39,IN,1635026801
Sørland,67.667,12.6934,41.94,71,99,10.31,NO,1635027100
Raymondville,26.4815,-97.7831,90.37,60,84,13.65,US,1635027101
Wajir,1.7471,40.0573,80.62,57,4,17.81,KE,1635027101
Cape Canaveral,28.4058,-80.6048,83.07,74,1,6.91,US,1635027101
Doka,13.5167,35.7667,79.32,44,6,6.87,SD,1635027102
Mahébourg,-20.4081,57.7,74.25,75,66,11.43,MU,1635027102
Atuona,-9.8,-139.0333,78.44,76,21,18.03,PF,1635027103
Saint-Philippe,-21.3585,55.7679,74.75,82,65,11.7,RE,1635027103
Ibrā’,22.6906,58.5334,74.66,68,3,4.56,OM,1635027104
Ponta do Sol,32.6667,-17.1,70.43,65,32,7.63,PT,1635026855
Pinyug,60.251,47.7842,37.85,79,95,4.34,RU,1635027104
Saint-Augustin,51.226,-58.6502,40.26,89,100,16.4,CA,1635026861
Saskylakh,71.9167,114.0833,7.74,94,100,15.9,RU,1635027105
Provideniya,64.3833,-173.3,24.48,77,100,8.34,RU,1635027105
Verkhoyansk,67.5447,133.385,4.42,96,100,2.51,RU,1635027106
Hilo,19.7297,-155.09,80.33,72,90,6.91,US,1635027106
New Norfolk,-42.7826,147.0587,49.66,79,100,4.0,AU,1635027106
Cayenne,4.9333,-52.3333,78.1,88,0,0.0,GF,1635027107
Virginia Beach,36.8529,-75.978,70.03,64,20,6.91,US,1635026632
Puerto Ayora,-0.7393,-90.3518,75.16,83,97,9.73,EC,1635027107
Lapua,62.9693,23.0088,28.11,98,77,2.48,FI,1635027108
Mazyr,52.0495,29.2456,42.78,72,97,12.44,BY,1635027108
Avarua,-21.2078,-159.775,75.25,57,79,8.05,CK,1635027082
Pisco,-13.7,-76.2167,65.01,72,0,24.16,PE,1635027109
Ostrovnoy,68.0531,39.5131,28.67,89,100,18.97,RU,1635027109
Cape Town,-33.9258,18.4232,58.26,71,20,4.72,ZA,1635026962
Hermanus,-34.4187,19.2345,56.89,71,14,2.55,ZA,1635027109
San Vicente,-26.6167,-54.1333,61.5,99,100,3.53,AR,1635027110
Derzhavīnsk,51.1,66.3167,46.94,91,93,15.97,KZ,1635027110
Lompoc,34.6391,-120.4579,75.56,65,1,19.57,US,1635027073
Hambantota,6.1241,81.1185,77.34,100,20,6.91,LK,1635026912
Nuevo Progreso,23.1667,-97.95,87.6,69,68,1.01,MX,1635027111
Meulaboh,4.1363,96.1285,76.8,87,100,2.37,ID,1635027111
Tura,25.5198,90.2201,65.21,82,20,3.27,IN,1635027111
Cherskiy,68.75,161.3,-5.33,100,97,3.02,RU,1635027112
Hobart,-42.8794,147.3294,50.02,87,75,3.0,AU,1635027112
Souillac,-20.5167,57.5167,74.35,75,38,9.08,MU,1635027112
Bilma,18.6853,12.9164,82.74,14,2,6.89,NE,1635027113
Seoul,37.5683,126.9778,45.84,51,58,2.01,KR,1635026954
Bredasdorp,-34.5322,20.0403,51.28,71,45,3.13,ZA,1635026973
Pangnirtung,66.1451,-65.7125,24.64,91,98,4.59,CA,1635027113
Yuzhno-Kurilsk,44.0306,145.8556,45.95,74,32,9.15,RU,1635027114
Bilibino,68.0546,166.4372,-9.74,100,97,1.32,RU,1635026875
Albany,42.6001,-73.9662,51.75,63,96,7.18,US,1635026917
Nikolskoye,59.7035,30.7861,35.49,95,98,9.01,RU,1635027114
Hasaki,35.7333,140.8333,43.2,53,3,7.34,JP,1635027115
Agadez,19.75,10.25,81.55,15,0,6.24,NE,1635026886
Esperance,-33.8667,121.9,53.82,64,30,17.54,AU,1635027115
Kavieng,-2.5744,150.7967,84.04,72,89,12.84,PG,1635027115
Avera,33.194,-82.5271,78.31,48,0,2.8,US,1635027116
Hamilton,39.1834,-84.5333,59.74,75,90,0.0,US,1635026994
Tasiilaq,65.6145,-37.6368,32.16,87,100,5.39,GL,1635027116
Río Tercero,-32.173,-64.1141,60.48,25,3,15.43,AR,1635027117
George Town,5.4112,100.3354,78.89,88,20,0.0,MY,1635027117
Kampot,10.6167,104.1833,78.85,91,99,7.14,KH,1635027117
La Ronge,55.1001,-105.2842,42.21,58,9,15.61,CA,1635026891
Keti Bandar,24.1447,67.4497,79.29,66,0,17.07,PK,1635027118
Dagana,16.5165,-15.5068,89.35,19,11,2.82,MR,1635027118
Bluff,-46.6,168.3333,51.53,95,100,2.66,NZ,1635027118
Barrow,71.2906,-156.7887,28.42,86,90,13.8,US,1635027119
Tuktoyaktuk,69.4541,-133.0374,26.4,92,42,6.35,CA,1635027119
Mataura,-46.1927,168.8643,52.74,95,100,0.85,NZ,1635027120
Margate,51.3813,1.3862,56.3,76,37,15.03,GB,1635027120
Kapaa,22.0752,-159.319,84.18,76,75,4.0,US,1635027120
Calvinia,-31.4707,19.776,46.54,77,0,1.77,ZA,1635027121
Yellowknife,62.456,-114.3525,43.41,88,74,16.49,CA,1635027121
Bathsheba,13.2167,-59.5167,83.01,69,20,18.41,BB,1635027122
Kenai,60.5544,-151.2583,45.09,73,1,13.8,US,1635027123
Okahandja,-21.9833,16.9167,61.83,18,0,5.91,NA,1635027123
Butaritari,3.0707,172.7902,81.16,74,100,8.63,KI,1635027124
Tamandaré,-8.7597,-35.1047,79.0,80,25,10.36,BR,1635027124
Lazurne,46.084,32.5295,53.82,64,67,11.72,UA,1635027124
Chapais,49.7834,-74.8492,33.3,79,100,1.25,CA,1635027125
Klaksvík,62.2266,-6.589,49.12,86,66,16.6,FO,1635027125
Yar-Sale,66.8333,70.8333,29.07,94,100,10.98,RU,1635026841
Yiyang,28.5892,112.3283,50.47,81,3,4.65,CN,1635027126
Fortuna,40.5982,-124.1573,63.86,77,20,5.99,US,1635027126
Baiyin,36.5583,104.2081,43.68,74,60,3.51,CN,1635027126
Norman Wells,65.282,-126.8329,36.54,84,12,2.35,CA,1635027127
Tautira,-17.7333,-149.15,80.62,84,100,11.81,PF,1635027127
San Cristobal,7.7669,-72.225,77.18,80,93,3.13,VE,1635026999
Shīeli,44.1667,66.75,47.35,38,6,7.05,KZ,1635027128
Caravelas,-17.7125,-39.2481,74.21,83,32,6.35,BR,1635027128
Yumen,40.2833,97.2,39.36,38,100,7.56,CN,1635027129
Grand Gaube,-20.0064,57.6608,74.37,76,92,5.99,MU,1635027129
Riyadh,24.6877,46.7219,78.94,25,0,10.2,SA,1635026928
Bansko,41.8383,23.4885,51.3,93,74,3.02,BG,1635027130
Arraial do Cabo,-22.9661,-42.0278,71.8,85,0,31.0,BR,1635027130
Nixa,37.0434,-93.2944,67.12,93,92,4.0,US,1635027130
Longyearbyen,78.2186,15.6401,17.44,86,20,4.61,SJ,1635027131
Thompson,55.7435,-97.8558,37.33,73,100,3.15,CA,1635027131
East London,-33.0153,27.9116,61.38,64,62,19.69,ZA,1635027132
Healesville,-37.65,145.5167,56.53,88,80,1.99,AU,1635027132
Cabo San Lucas,22.8909,-109.9124,90.61,65,1,20.71,MX,1635027132
Murgab,37.4966,61.9714,46.27,57,0,4.61,TM,1635027133
Kollam,8.8833,76.6,76.87,86,87,4.81,IN,1635027133
Mahibadhoo,3.7833,72.9667,82.26,74,79,15.28,MV,1635027134
Urucará,-2.5364,-57.76,83.35,68,92,2.08,BR,1635027134
Vila Franca do Campo,37.7167,-25.4333,66.61,82,5,5.37,PT,1635027134
Evensk,61.95,159.2333,10.89,73,93,10.16,RU,1635027135
Vaini,-21.2,-175.2,77.16,73,40,11.5,TO,1635027135
Castro,-24.7911,-50.0119,64.4,69,93,4.09,BR,1635027135
Chulym,55.0997,80.9572,45.82,76,100,18.43,RU,1635027136
Smithers,54.7804,-127.1743,44.37,83,83,3.44,CA,1635027136
Rocha,-34.4833,-54.3333,56.61,95,100,4.61,UY,1635026847
Bengkulu,-3.8004,102.2655,75.52,88,51,3.2,ID,1635027137
Grindavik,63.8424,-22.4338,46.87,100,90,12.66,IS,1635027137
Grão Mogol,-16.5594,-42.8897,68.25,86,74,3.47,BR,1635027138
Severo-Kuril'sk,50.6789,156.125,40.55,76,80,10.45,RU,1635027138
Gamba,-2.65,10.0,75.99,88,98,4.18,GA,1635027138
Makkah al Mukarramah,21.4267,39.8261,80.76,58,0,1.25,SA,1635026856
Touros,-5.1989,-35.4608,81.5,75,10,14.45,BR,1635027139
Ilulissat,69.2167,-51.1,21.22,79,90,18.41,GL,1635027139
Airai,-8.9266,125.4092,63.0,68,28,2.19,TL,1635026847
Aklavik,68.2191,-135.0107,26.76,91,55,4.36,CA,1635027139
Nenita,12.4917,124.8044,75.63,93,100,3.53,PH,1635027140
Vostok,46.4856,135.8833,28.96,87,6,5.79,RU,1635027140
Tupelo,34.2576,-88.7034,79.09,45,1,8.99,US,1635027141
Olenegorsk,68.15,33.3,24.31,89,100,3.91,RU,1635027141
Luba,3.4568,8.5547,77.36,85,54,2.44,GQ,1635027141
Beloha,-25.1667,45.05,69.24,89,1,2.35,MG,1635027138
Varkala,8.7341,76.7067,76.78,89,80,4.29,IN,1635027142
Chibombo,-14.6569,28.0706,77.0,34,69,4.0,ZM,1635027142
Aswān,24.0934,32.907,74.28,37,0,10.27,EG,1635027143
Port Alfred,-33.5906,26.891,60.4,63,2,18.81,ZA,1635027143
Bulgan,48.8125,103.5347,35.47,44,100,2.77,MN,1635027143
Hong Kong,22.2855,114.1577,69.33,80,98,5.01,HK,1635027108
Ust'-Omchug,61.15,149.6333,-5.17,99,92,3.65,RU,1635027136
Port Macquarie,-31.4333,152.9167,76.89,74,7,17.47,AU,1635027144
Santa Fe,-31.6333,-60.7,68.92,64,23,1.99,AR,1635027074
Tiksi,71.6872,128.8694,1.24,96,100,8.5,RU,1635027144
Paamiut,61.994,-49.6678,32.5,53,85,17.29,GL,1635027145
Burnie,-41.0667,145.9167,54.95,59,61,10.85,AU,1635026881
Iqaluit,63.7506,-68.5145,31.73,80,90,11.01,CA,1635027145
St. George's,12.0564,-61.7485,81.34,71,68,18.3,GD,1635027145
Sungai Penuh,-2.0833,101.3833,63.68,94,60,2.75,ID,1635027146
Saint Paul Harbor,57.79,-152.4072,45.91,76,90,10.36,US,1635027146
Port Elizabeth,-33.918,25.5701,59.14,62,8,14.43,ZA,1635027146
Marang,5.2056,103.2059,76.84,89,92,4.03,MY,1635027147
Manamadurai,9.7,78.4833,78.46,85,62,3.36,IN,1635027147
Half Moon Bay,37.4636,-122.4286,69.71,64,90,14.97,US,1635026856
Poum,-20.2333,164.0167,74.08,78,3,8.63,NC,1635027148
Husavik,66.0449,-17.3389,40.57,97,100,3.65,IS,1635026895
Honningsvåg,70.9821,25.9704,38.59,51,100,22.3,NO,1635027148
Qaanaaq,77.484,-69.3632,-1.44,58,0,8.63,GL,1635027149
Micheweni,-4.9667,39.8333,76.51,79,7,5.41,TZ,1635026919
Dondo,-19.6094,34.7431,73.18,84,0,4.03,MZ,1635027149
Cortez,37.3489,-108.5859,63.52,20,1,19.57,US,1635027150
Epitálio,37.6333,21.5,65.28,78,28,3.29,GR,1635027150
Broome,42.2506,-75.833,48.6,81,90,3.44,US,1635026876
Bogandé,12.9714,-0.1436,85.68,46,100,7.74,BF,1635027151
Sinnamary,5.3833,-52.95,78.62,88,100,12.91,GF,1635027151
Hoquiam,46.9809,-123.8893,58.01,57,90,6.91,US,1635027151
Dobryanka,58.4619,56.4165,35.46,87,94,8.43,RU,1635027152
Saint George,37.1041,-113.5841,76.62,23,1,3.0,US,1635026990
Alyangula,-13.8483,136.4192,83.57,72,14,11.32,AU,1635027152
Chervishevo,56.9464,65.4278,41.29,88,38,10.0,RU,1635027152
Voi,-3.3945,38.563,71.19,76,83,4.54,KE,1635027153
Alofi,-19.0595,-169.9187,74.03,66,90,21.79,NU,1635026858
Faanui,-16.4833,-151.75,77.74,77,90,6.64,PF,1635027153
Karonga,-9.9333,33.9333,76.53,63,4,2.55,MW,1635027153
Stornoway,58.2093,-6.3865,53.92,100,90,24.16,GB,1635026903
Dikson,73.5069,80.5464,8.06,87,99,11.9,RU,1635027153
Vilhena,-12.7406,-60.1458,81.25,56,90,2.01,BR,1635027154
Marawi,7.9986,124.2928,66.65,90,94,3.27,PH,1635027154
Sayyan,15.1718,44.3244,54.09,35,19,4.68,YE,1635027155
Mayor Pablo Lagerenza,-19.9309,-60.7718,103.08,22,0,16.33,PY,1635027155
Kaitangata,-46.2817,169.8464,55.83,74,100,2.59,NZ,1635027155
Dunedin,-45.8742,170.5036,56.8,74,100,11.01,NZ,1635027156
Anadyr,64.75,177.4833,-5.01,83,40,8.01,RU,1635027156
Saldanha,-33.0117,17.9442,58.69,74,18,7.56,ZA,1635027157
Thanh Hoa,19.8,105.7667,63.37,76,71,5.06,VN,1635027129
Nanortalik,60.1432,-45.2371,35.87,69,34,5.79,GL,1635027157
Fort Nelson,58.8053,-122.7002,50.41,57,49,4.23,CA,1635027158
Korla,41.7597,86.1469,50.99,36,100,4.34,CN,1635027158
Yarega,63.4354,53.5765,25.18,92,77,3.91,RU,1635026955
Baculin,7.4525,126.5842,78.15,83,100,4.52,PH,1635027158
Tynda,55.1667,124.7167,30.04,88,30,1.45,RU,1635027159
Chornukhy,50.2673,32.942,40.28,70,41,6.2,UA,1635027159
Clyde River,70.4692,-68.5914,20.21,82,93,13.09,CA,1635027160
Lebu,-37.6167,-73.65,53.53,80,20,9.28,CL,1635027160
Hualmay,-11.0964,-77.6139,65.93,76,10,11.72,PE,1635027160
Tuatapere,-46.1333,167.6833,52.93,95,100,0.89,NZ,1635026883
Hay River,60.8156,-115.7999,47.14,64,78,9.84,CA,1635027161
Ancud,-41.8697,-73.8203,52.43,65,7,11.03,CL,1635026937
La Maná,-0.9333,-79.2167,85.89,85,89,3.56,EC,1635027161
Kanash,55.5086,47.4956,38.79,71,96,9.64,RU,1635027162
Lagos,6.5833,3.75,74.66,94,100,1.45,NG,1635026930
Mbour,14.422,-16.9638,83.25,57,86,8.21,SN,1635027066
Mar del Plata,-38.0023,-57.5575,58.08,68,20,5.99,AR,1635026951
Graaff-Reinet,-32.2522,24.5308,49.93,65,76,7.61,ZA,1635027162
Bethel,41.3712,-73.414,56.8,69,20,4.61,US,1635027156
Dungarvan,52.0881,-7.6253,56.61,100,100,10.0,IE,1635027163
Altamira,-3.2033,-52.2064,77.59,88,97,2.98,BR,1635027163
Constitución,-35.3333,-72.4167,55.89,71,0,17.38,CL,1635027164
Middelburg,-25.7751,29.4648,67.48,19,0,4.63,ZA,1635027164
Khatanga,71.9667,102.5,10.45,93,100,17.2,RU,1635027165
Srednekolymsk,67.45,153.6833,-13.83,98,36,4.52,RU,1635027165
Greenwood,34.1668,-82.1165,73.15,61,1,0.0,US,1635027166
Orlik,52.5178,99.825,26.26,83,56,3.42,RU,1635027166
Bandarbeyla,9.4942,50.8122,77.29,82,23,7.27,SO,1635027167
Migori,-1.0634,34.4731,62.82,85,54,3.91,KE,1635027167
Palmer,42.1584,-72.3287,56.48,56,75,1.01,US,1635027167
Saryozek,44.3583,77.9753,35.96,59,2,5.73,KZ,1635027168
Lazi,48.0667,24.2333,36.07,90,88,0.67,UA,1635027168
La Libertad,-2.2333,-80.9,74.86,83,90,9.22,EC,1635027168
Hörbranz,47.55,9.75,45.5,71,5,1.14,AT,1635027169
Svay Rieng,11.0879,105.7993,73.94,93,80,5.75,KH,1635027169
Geraldton,-28.7667,114.6,52.21,93,26,4.61,AU,1635026888
Mount Isa,-20.7333,139.5,80.37,54,3,0.0,AU,1635027170
Inverell,-29.7833,151.1167,74.66,56,0,8.99,AU,1635027170
Road Town,18.4167,-64.6167,83.19,74,20,8.05,VG,1635027170
Haines Junction,60.7522,-137.5108,38.5,76,76,2.86,CA,1635027038
Codrington,-38.2667,141.9667,52.68,64,50,13.76,AU,1635027156
Tilichiki,60.4667,166.1,8.67,90,99,8.55,RU,1635027072
Ribeira Grande,38.5167,-28.7,67.32,68,21,13.13,PT,1635027171
Kirakira,-10.4544,161.9205,84.52,69,37,8.81,SB,1635027171
Wagar,16.1525,36.2032,81.54,57,3,10.07,SD,1635027172
Okhotsk,59.3833,143.3,15.89,74,1,16.24,RU,1635027172
Teya,60.3778,92.6267,34.39,95,100,13.98,RU,1635027173
Talnakh,69.4865,88.3972,20.82,95,98,6.42,RU,1635027173
Kovernino,57.1253,43.8142,38.35,94,83,9.82,RU,1635027173
Borodino,55.9106,94.8983,40.21,67,100,22.66,RU,1635027174
Dingle,10.9995,122.6711,75.13,94,100,4.16,PH,1635027174
Carballo,43.213,-8.691,55.51,90,13,4.38,ES,1635027175
Kiryat Gat,31.61,34.7642,70.81,100,0,4.25,IL,1635027175
Terney,45.0503,136.6092,42.39,66,88,8.41,RU,1635026920
Bonthe,7.5264,-12.505,78.28,85,100,2.86,SL,1635027175
Bayir,37.2687,28.2167,50.52,57,21,3.74,TR,1635027176
Alekseyevskaya,50.2896,42.1845,47.34,55,90,6.89,RU,1635027176
Forsytheganj,52.6333,29.7333,42.17,73,94,11.92,BY,1635027176
Bowmore,34.9421,-79.3031,74.98,48,1,0.0,US,1635027177
Nerekhta,57.4588,40.5747,39.09,87,100,10.85,RU,1635027177
Coquimbo,-29.9533,-71.3436,62.33,63,0,5.75,CL,1635027178
Bahir Dar,11.5936,37.3908,63.27,70,94,3.58,ET,1635027178
Kiama,-34.6833,150.8667,69.01,91,86,1.01,AU,1635026897
Hithadhoo,-0.6,73.0833,82.47,73,70,11.95,MV,1635027151
Mossamedes,-15.1961,12.1522,64.65,74,73,9.13,AO,1635027179
Cabra,37.4725,-4.4421,63.39,79,36,5.08,ES,1635026999
Talaya,61.3833,152.75,1.94,96,99,4.12,RU,1635027179
Santa Lucía,27.9117,-15.5407,62.76,67,75,12.66,ES,1635027180
Ngorongoro,-3.2397,35.4875,56.41,66,100,2.91,TZ,1635027179
Salimpur,28.128,76.2766,71.85,60,0,5.68,IN,1635027180
Daru,-9.0763,143.2092,81.91,77,84,13.8,PG,1635027181
Dalhousie,32.5333,75.9833,44.65,78,100,6.96,IN,1635027181
Itoman,26.1247,127.6694,73.42,68,75,6.91,JP,1635027181
General Zuazua,25.9,-100.1167,90.09,61,20,8.05,MX,1635027182
Seville,37.3824,-5.9761,69.01,63,0,1.01,ES,1635026976
Pevek,69.7008,170.3133,10.78,93,100,7.29,RU,1635026927
Akdepe,42.0551,59.3788,44.6,37,0,8.88,TM,1635027183
Culebra,18.303,-65.301,83.19,66,23,14.16,PR,1635027183
Praia da Vitória,38.7333,-27.0667,67.75,80,10,10.67,PT,1635027184
West Fargo,46.875,-96.9004,50.02,54,1,3.0,US,1635026951
Samarai,-10.6167,150.6667,80.71,82,82,12.46,PG,1635027184
Cooma,-36.2333,149.1333,47.97,61,38,19.57,AU,1635026947
Marfino,55.7028,37.3822,41.09,80,75,11.18,RU,1635027185
San Vicente de Cañete,-13.0751,-76.3835,65.28,77,19,8.05,PE,1635027185
Jasper,37.2001,-94.3502,74.55,76,1,1.01,US,1635027185
Roebourne,-20.7833,117.1333,80.35,32,100,5.55,AU,1635027186
Escanaba,45.7453,-87.0646,49.96,59,90,3.44,US,1635026951
Isangel,-19.55,169.2667,80.71,78,75,11.5,VU,1635027186
Nieuw Amsterdam,5.8833,-55.0833,81.01,81,40,3.44,SR,1635027187
Poso,-1.3959,120.7524,76.08,80,100,3.91,ID,1635027187
Lock Haven,41.137,-77.4469,52.63,88,99,4.94,US,1635027187
Hobyo,5.3505,48.5268,79.11,79,43,8.55,SO,1635027188
Dhārchula,29.85,80.5333,55.94,70,0,6.64,IN,1635027188
Anjiang,27.3194,110.1031,50.94,93,30,2.35,CN,1635027189
Chimbote,-9.0853,-78.5783,65.64,78,9,11.95,PE,1635027189
Kitale,1.0157,35.0062,57.42,86,73,2.33,KE,1635027189
Srandakan,-7.9386,110.2506,76.59,89,99,4.29,ID,1635027190
Vestmanna,62.1564,-7.1664,47.32,100,90,14.97,FO,1635027190
Otaru,43.1894,141.0022,47.03,81,42,8.88,JP,1635027191
Bambous Virieux,-20.3428,57.7575,74.21,75,74,11.5,MU,1635027191
Baghlan,36.1307,68.7083,51.21,60,0,0.67,AF,1635027191
Buala,-8.145,159.5921,84.11,64,28,4.68,SB,1635027192
Laas,46.6166,10.7002,39.36,50,1,1.43,IT,1635027192
Tessaoua,13.7574,7.9874,88.02,27,16,5.17,NE,1635027192
North Myrtle Beach,33.816,-78.68,76.12,70,1,0.0,US,1635027193
Paka,4.6374,103.4368,76.77,90,59,3.96,MY,1635027193
Nome,64.5011,-165.4064,33.87,69,75,8.05,US,1635027194
